1 ALLEN STREET,Unspecified,Unknown,Unknown
1 AUDUBON AVENUE,33,1000966,244894
1 AUDUBON AVENUE,33,1000966,244894
1 CONVENT AVENUE,26,997229,235410
1 DOYERS STREET,5,984925,199416
1 EAST 118 STREET,25,999405,231427
1 EAST 3 STREET,9,986606,203879
1 EAST END AVENUE,19,998656,219993
1 EAST THIRD STREET,9,986606,203879
1 ESSEX STREET,7,986982,199698
1 SYLVAN TERRACE,Unspecified,Unknown,Unknown
1 WEST 28 STREET,13,987712,210620
10 5 AVENUE,6,985291,206116
10 ALLEN STREET,Unspecified,986312,199739
10 BENNETT AVENUE,34,1001833,249292
10 DOYERS STREET,5,984774,199569
10 EAST 64 STREET,19,992512,218771
10 FT WASHINGTON AVENUE,33,999595,243740
10 JERSEY STREET,5,985437,203155
10 LINCOLN CENTER PLAZA,20,989164,220826
10 MANHATTAN AVENUE,24,994205,228963
10 MURRAY STREET,1,982095,199150
10 ST NICHOLAS PLACE,30,1000197,240688
10 ST NICHOLAS TERRACE,26,997572,235398
10 WEST 65 STREET,20,989845,220547
100 AUDUBON AVENUE,33,1001571,245982
100 DELANCEY STREET,7,987331,201143
100 DELANCEY STREET,7,987331,201143
100 DELANCY STREET,7,987331,201143
100 EAST 122 STREET,25,1000834,231826
100 EAST 30 STREET,Unspecified,988992,210493
100 EAST 31 STREET,Unspecified,989119,210718
100 EAST 96 STREET,19,997481,225788
100 GRAND STREET,1,983776,202098
100 LEXINGTON AVENUE,13,988923,209655
100 MOSCO STREET,5,984396,199576
100 NORFOLK STREET,7,987813,201146
100 POST AVENUE,34,1006146,254166
100 ST NICHOLAS AVENUE,28,997374,231657
100 SULLIVAN STREET,1,983401,203649
100 UNIVERSITY PLACE,6,986266,206699
100 WEST 106 STREET,24,994410,230527
100 WEST 106 STREET,Unspecified,Unknown,Unknown
100 WEST 114 STREET,28,997820,231055
100 WEST 134 STREET,32,1000354,235709
100 WEST 139 STREET,32,1001004,236884
100 WEST 141 STREET,32,1001252,237337
100 WEST 33 STREET,14,987381,212273
100 WEST 83 STREET,20,991442,225169
1001 ST NICHOLAS AVENUE,33,1000876,243429
1001 ST NICHOLAS AVENUE,33,1000876,243429
1001 ST NICHOLAS AVENUE,33,1000876,243429
101 AUDUBON AVENUE,33,1001597,246017
101 CHRYSTIE STREET,5,985926,200833
101 EDGECOMBE AVENUE,32,999216,237971
101 SHERMAN AVENUE,34,1004931,254011
101 WEST 104 STREET,24,994144,230051
101 WEST 116 STREET,28,998053,231554
101 WEST 116 STREET,28,998053,231554
101 WEST 126 STREET,28,999349,233895
101 WEST 131 STREET,32,999979,235031
101 WEST 132 STREET,Unspecified,Unknown,Unknown
101 WEST 136 STREET,32,1000628,236201
101 WEST 140 STREET,32,1001133,237115
101 WEST 141 STREET,32,1001255,237342
101 WEST 74 STREET,20,990273,223058
102 2 AVENUE,9,987411,204254
102 EAST 125 STREET,25,1001242,232519
102 FRANKLIN STREET,1,982670,201030
102 WEST 124 STREET,28,999063,233406
102 WEST 29 STREET,13,986871,211374
102 WEST 37 STREET,14,987941,213181
102 WEST 96 STREET,Unspecified,Unknown,Unknown
1028 AMSTERDAM AVENUE,26,994325,231956
1028 ST NICHOLAS AVENUE,33,1000904,243663
